Id,Start,Name,Impact,Currency
f836b252-2ae0-402e-8377-2f2455826a8b,01/01/2020 05:00:00,New Year's Day,NONE,USD
c5b01333-fb1d-4a42-af03-0b8ecfccd1b2,01/01/2020 05:00:00,New Year's Day,NONE,CAD
088e84e8-225e-4e98-b89f-1a3ae59bb45e,01/01/2020 12:00:00,"Day after New Year's Day ",NONE,NZD
cea9bfa7-273a-484b-ba19-38e10a2e113f,01/01/2020 22:00:00,Commonwealth Bank Manufacturing PMI,MEDIUM,AUD
8a77c4ff-6eaf-4637-b295-8e59f22d39c6,01/02/2020 01:45:00,Caixin Manufacturing PMI,HIGH,CNY
4cabc418-f6f2-454b-a7db-5500709fc70f,01/02/2020 05:30:00,RBA Commodity Index SDR (YoY),LOW,AUD
e85b7601-1293-432d-bd08-ac98876ac71c,01/02/2020 08:15:00,Markit Manufacturing PMI,LOW,EUR
7a4c4cec-0f53-4867-8de9-16eb8cf9a0f5,01/02/2020 08:45:00,Markit Manufacturing PMI,LOW,EUR
b5a213ae-4a3d-4e1a-b8d9-e30f7ebb9286,01/02/2020 08:50:00,Markit Manufacturing PMI,LOW,EUR
1ce1d4c9-fef9-415b-b90c-b9283ef6ed66,01/02/2020 08:55:00,Markit Manufacturing PMI,MEDIUM,EUR
11f01efd-c8b1-4d5d-9901-7cc0b01b137c,01/02/2020 09:00:00,Markit Manufacturing PMI,LOW,EUR
751074ce-f667-44e9-9cf7-d0b6f1babbde,01/02/2020 09:30:00,Markit Manufacturing PMI,MEDIUM,GBP
43a48249-d598-4f6c-a712-8e8106ca7cf9,01/02/2020 12:30:00,Challenger Job Cuts,LOW,USD
7855b058-ea5f-411d-9d02-328958214c57,01/02/2020 13:30:00,Continuing Jobless Claims,LOW,USD
b0e0a0fa-efcd-49a4-b324-af0c5ea6b3bc,01/02/2020 13:30:00,Initial Jobless Claims,MEDIUM,USD
eb18a927-83c8-46ff-b950-9ca2e0859646,01/02/2020 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
8c4bf2f0-1a54-4247-bed6-849041553999,01/02/2020 14:30:00,Markit Manufacturing PMI,MEDIUM,CAD
fd0e8fd4-5b87-4b69-96a6-9203c469d2e6,01/02/2020 14:45:00,Markit Manufacturing PMI,MEDIUM,USD
f5960514-3dc0-4b94-8594-5d86adb93abb,01/02/2020 16:30:00,4-Week Bill Auction,LOW,USD
a3820f1a-44dd-4b09-9908-3550ce178e42,01/03/2020 00:01:00,BRC Shop Price Index (YoY),LOW,GBP
bd61b478-d3f6-4cea-a24a-cb51557aec6b,01/03/2020 07:00:00,Nationwide Housing Prices s.a (MoM),LOW,GBP
e9ae4bc9-e731-4512-aef0-4953c972177f,01/03/2020 07:00:00,Nationwide Housing Prices n.s.a (YoY),LOW,GBP
d9bee6ef-a6e7-4987-8164-813d08181ecf,01/03/2020 07:45:00,Consumer Price Index (EU norm) (MoM),LOW,EUR
f4ba2a37-940e-4493-a11f-b68318dd08cc,01/03/2020 07:45:00,Consumer Price Index (EU norm) (YoY),LOW,EUR
1bfd8d07-6c6f-4993-875c-030c183135e5,01/03/2020 08:00:00,Unemployment Change,LOW,EUR
7ba2eae8-3ea9-45ea-9400-aa96627a81da,01/03/2020 08:30:00,SVME - Purchasing Managers' Index,LOW,CHF
ec8964ff-1c7d-42c4-8a37-7e0e1eda87c1,01/03/2020 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
43bf5afc-e623-40f2-9a95-73e49b8c2a53,01/03/2020 08:55:00,Unemployment Change,MEDIUM,EUR
19963afd-f2f8-435c-9f0b-cb7a42ff2753,01/03/2020 09:00:00,Private Loans (YoY),LOW,EUR
08636119-0447-467c-94dd-e99cd1ee7878,01/03/2020 09:00:00,M3 Money Supply (3m),LOW,EUR
